#{"t_start": 1735310207.876689, "env_id": "BriscolaEpsGreedy-v0"}
r,l,t
-46.961944,18,1.478881
23.421944,19,1.48288
-43.736389,18,1.48588
-88.090278,12,1.48888
-42.584444,16,1.491884
-65.055,17,1.495881
-27.825,20,1.499879
-32.148056,16,1.503879
-1.667778,20,1.507888
22.551944,19,1.51188
-26.326389,18,1.515879
-36.3225,17,1.518879
-79.463056,16,1.52288
28.153333,20,1.526881
-40.83,17,1.530879
-72.915,20,1.534879
-86.469722,15,1.537882
-1.953889,20,1.542886
15.431111,20,1.546887
-74.256111,10,1.54888
-58.17,12,1.551881
-53.425556,13,1.554884
-51.360278,13,1.556879
-79.269444,16,1.560879
49.166389,16,1.563891
-68.891389,14,1.56688
-80.281111,12,1.569882
21.731944,20,1.573879
-73.711111,14,1.576881
-80.603889,12,1.579879
-84.198333,16,1.612882
-68.855833,14,1.615879
-66.108333,12,1.617888
-87.426389,12,1.620879
-70.996389,13,1.623879
-47.711111,20,1.627879
-76.061111,14,1.630879
-75.865278,10,1.633892
-40.5075,19,1.64088
-59.86,12,1.642879
47.2825,15,1.64588
-77.461944,18,1.64988
71.079444,19,1.653879
48.029722,20,1.657879
-35.774444,18,1.661883
2.175833,20,1.66588
-46.998333,18,1.66988
-54.479444,12,1.67288
-79.895833,13,1.67588
-80.866389,10,1.67788
-53.506389,19,1.681879
13.636389,19,1.685879
-93.554722,10,1.687883
35.381944,19,1.69188
26.145278,20,1.695873
-66.018056,16,1.699875
-77.781667,13,1.703877
12.113889,20,1.708876
-34.780833,19,1.713875
-53.458611,14,1.717877
-61.824722,15,1.721876
-45.308056,19,1.726874
-16.300556,20,1.869865
-52.291111,16,1.887865
-63.390278,15,1.900865
-67.399167,18,1.91987
-44.605,18,1.943881
-86.487778,14,1.959874
-60.600556,18,1.982871
56.211944,19,2.003865
-46.953333,15,2.021874
-85.596944,15,2.037865
67.066667,13,2.049865
-65.882778,17,2.063865
-17.793056,20,2.081868
-43.393056,15,2.094865
10.769722,19,2.111868
-14.585556,20,2.128865
47.702778,17,2.142865
-45.369167,18,2.158865
42.989722,20,2.181876
-33.627778,20,2.203876
53.1575,17,2.224865
65.265556,19,2.250881
-85.580556,13,2.265867
44.358056,18,2.284865
-43.326389,18,2.303867
-65.591944,13,2.315866
24.887222,19,2.333866
-37.718333,14,2.344866
-39.883333,16,2.359865
-74.343889,16,2.375866
-55.945833,17,2.392866
-57.475278,15,2.403865
-90.814722,13,2.417867
-70.355,9,2.424866
-66.504444,14,2.436865
9.399444,20,2.453866
-65.168611,10,2.46787
42.660833,20,2.488872
-42.953889,19,2.513866
-72.023333,12,2.525866
-73.41,11,2.535865
-69.810278,15,2.550865
10.260833,20,2.571867
-57.966111,13,2.582866
-74.918056,9,2.592865
-49.603333,19,2.607866
-77.2175,12,2.617867
-69.991111,16,2.630866
-46.2125,16,2.644866
-80.478333,15,2.658865
-55.440556,18,2.674867
7.366667,20,2.690866
-81.223056,12,2.702867
-70.409444,16,2.719877
-78.224722,8,2.730881
-39.6375,15,2.745871
-64.919444,16,2.76488
-56.458056,17,2.787877
24.247222,19,2.807866
-55.27,16,2.821866
-90.735833,14,2.835865
-3.753056,20,2.851866
72.722222,11,2.862866
-89.544722,13,2.873866
-74.07,14,2.883866
-49.18,11,2.893866
-25.534167,19,2.910869
-64.802222,10,2.917866
-72.546111,14,2.932891
-37.75,13,2.946866
-4.206944,20,2.971871
3.723056,20,2.994869
65.309167,16,3.013879
29.93,20,3.037867
-48.077222,15,3.054875
-35.579444,15,3.069867
-0.007778,20,3.087867
31.028056,19,3.103866
-56.607222,18,3.121868
-79.673333,17,3.136867
-36.558333,17,3.149865
-70.183333,15,3.167871
34.057778,18,3.191878
-47.792222,20,3.214865
-77.641667,12,3.227866
-33.723056,19,3.245867
59.392778,18,3.265872
56.279444,18,3.280871
-65.981667,12,3.292867
32.294167,17,3.310866
-76.210556,13,3.322865
36.525278,19,3.342865
33.850833,19,3.357865
-54.206389,15,3.372865
-72.054167,11,3.38787
-90.557222,15,3.403867
-80.726111,15,3.418872
-49.838056,20,3.44588
-68.451389,15,3.464872
51.503056,19,3.488873
45.176111,18,3.504874
41.705278,19,3.523869
-82.021111,13,3.536866
-56.5,13,3.550867
-68.031667,14,3.561867
0.266389,20,3.581885
2.184722,20,3.605873
36.299722,20,3.629866
66.711667,16,3.647875
-63.268333,16,3.668877
-44.538611,19,3.69387
-75.259722,13,3.705865
31.108611,20,3.72687
-73.950556,14,3.742866
42.794722,20,3.762866
-44.583889,19,3.779876
27.751389,18,3.801876
-9.114444,20,3.826871
-53.955556,17,3.846869
-68.670556,15,3.864866
-34.578889,18,3.884868
45.408333,19,3.904866
-40.523611,14,3.921876
-75.115833,13,3.933867
-61.136667,16,3.949865
-81.336389,10,3.958869
-20.745556,18,3.975866
-85.763056,14,3.986865
-92.319167,13,4.000865
-85.300278,15,4.012872
-69.7175,14,4.027867
-74.728611,14,4.039868
-59.000833,17,4.062873
-1.183611,20,4.088871
-77.33,9,4.098885
-65.409444,11,4.114872
-45.875278,19,4.136875
-72.0575,8,4.145869
-67.260556,11,4.158865
-68.799722,17,4.174866
-92.124444,14,4.190867
-3.059444,20,4.213871
22.554444,20,4.233866
-63.931944,14,4.245865
-56.631667,17,4.262865
-58.442222,17,4.276866
-81.635833,15,4.289866
-83.388056,14,4.30187
-79.618056,16,4.318887
59.776111,17,4.33787
43.3275,20,4.360872
-74.393889,13,4.378866
34.16,19,4.398865
-71.869722,17,4.416865
32.274444,20,4.434865
63.579722,16,4.449865
-59.732222,15,4.462868
11.958056,20,4.481866
-77.668056,11,4.493866
-35.898333,20,4.511867
-41.653056,19,4.528867
35.305833,20,4.547868
-87.045556,15,4.565881
36.670278,19,4.584872
-63.978056,15,4.607878
-57.625556,17,4.631865
-51.733889,18,4.658876
45.651944,17,4.676874
-63.948889,16,4.693877
-75.587222,10,4.705879
-18.925278,20,4.725877
19.356667,17,4.742877
-61.291667,12,4.754873
-29.29,18,4.775871
-59.153889,17,4.800867
44.519167,16,4.823873
66.343611,19,4.844865
-76.846389,16,4.868869
-53.938889,17,4.894866
-51.286667,16,4.913866
-16.904167,17,4.930865
-75.205833,14,4.943866
-36.318611,15,4.959867
40.053889,20,4.978865
-18.785278,19,5.001872
-3.644167,20,5.024872
18.864722,20,5.048876
-67.193611,11,5.064882
-24.327778,19,5.089869
-74.813333,12,5.100868
-13.681667,18,5.118868
-78.613056,15,5.132883
-6.935556,20,5.153865
-85.431944,13,5.166868
-61.312222,15,5.184872
-10.62,19,5.203867
-23.9075,19,5.225867
-36.122222,19,5.248866
50.976944,20,5.269896
-55.07,13,5.282866
-39.050556,19,5.304869
-66.480278,15,5.321865
-84.144167,14,5.335865
-60.410278,15,5.351867
40.623889,20,5.373877
-61.8675,17,5.390873
-58.596389,15,5.408869
44.52,12,5.420871
-25.791667,20,5.440869
48.389722,19,5.464882
-56.944722,14,5.482874
-71.841667,13,5.496874
36.175833,20,5.518876
-80.419722,13,5.533876
-80.104167,16,5.551874
-69.195556,18,5.575873
-64.461944,10,5.59088
-61.628889,14,5.606871
-20.288333,15,5.621873
-28.691389,19,5.642875
-70.608611,13,5.655873
-49.153056,19,5.677875
37.065833,20,5.699875
63.122778,19,5.716866
-79.689444,15,5.730865
68.644722,17,5.74587
-11.778333,19,5.763866
-55.778333,19,5.780868
-88.871111,13,5.791866
-60.186667,12,5.801866
-72.670278,16,5.815866
-68.375556,10,5.825866
-47.819444,15,5.835866
-42.615,19,5.852868
-47.799167,15,5.865866
-54.741389,19,5.883868
-45.170833,18,5.901866
-79.134722,12,5.914865
-52.400278,18,5.932867
-67.990833,14,5.944866
-40.960556,18,5.961866
-84.850833,9,5.97487
-77.501944,13,5.987865
-59.820833,12,5.999865
-37.460278,20,6.017867
-56.986389,15,6.032866
-75.996944,13,6.044866
-77.535278,18,6.065866
-61.136667,16,6.081867
26.092222,20,6.102866
-49.926111,14,6.115865
0.063611,20,6.135868
-78.902778,19,6.154868
-39.496389,15,6.173872
-68.165278,10,6.184866
34.075,17,6.206865
-54.078889,17,6.231865
-74.9775,11,6.241866
-12.426389,20,6.263867
-60.196667,12,6.273866
-83.569722,15,6.287868
-71.948611,17,6.301866
-39.224722,16,6.314867
-22.913889,19,6.331867
-62.705,16,6.344867
-62.222222,12,6.355867
-77.385556,13,6.365866
-92.955833,13,6.378867
-87.254722,11,6.388867
-52.513333,19,6.406867
-75.92,10,6.417866
-24.551944,18,6.432865
-48.005278,17,6.446866
10.233889,20,6.463866
76.942222,19,6.482866
-64.125833,14,6.496866
-58.708611,17,6.512867
0.603333,20,6.531866
-95.893333,12,6.544866
-59.065833,13,6.557866
-68.027222,12,6.568866
-50.775,17,6.582868
3.028889,20,6.600866
-59.290833,17,6.622867
21.816111,19,6.642867
53.828056,14,6.656866
-47.904444,9,6.66387
-36.393056,18,6.681868
37.641389,20,6.700866
-81.830833,12,6.710867
-91.582778,13,6.721867
-61.250833,15,6.734868
-68.898889,10,6.741868
-79.691389,12,6.751868
-53.145833,18,6.769868
4.286944,20,6.786866
84.398611,9,6.794867
56.882778,15,6.808866
-55.313611,16,6.823866
-64.061667,15,6.834865
-37.866944,16,6.848866
40.798333,20,6.865874
-68.990556,12,6.876866
-0.050278,20,6.894866
-36.288889,20,6.911865
-40.614722,19,6.928865
-48.106944,17,6.941866
-46.484444,16,6.955866
-12.458056,20,6.972865
31.893333,16,6.985865
-80.703056,13,6.998866
-61.935278,16,7.012865
-73.456389,12,7.022865
-39.766389,18,7.036865
70.711111,14,7.050866
-87.617778,16,7.063866
-55.938889,16,7.079865
-71.774722,18,7.094866
-67.719167,11,7.104867
55.659444,15,7.118865
49.526111,14,7.128865
62.679167,19,7.145865
-65.413889,15,7.159865
-31.716667,16,7.172865
21.045556,19,7.186865
-24.157222,20,7.204869
-80.393889,15,7.218865
39.756389,18,7.237866
-26.393889,18,7.253883
-76.835833,11,7.264866
24.930278,20,7.282865
-83.736667,14,7.294866
-40.883333,18,7.314866
-75.233056,19,7.334871
-2.870278,20,7.355873
-3.587778,20,7.376871
-29.318611,20,7.395865
-15.853611,20,7.414866
11.134167,19,7.432867
-61.2075,13,7.447868
-58.166389,12,7.458866
-21.908056,17,7.474865
-58.411111,16,7.497868
-87.359167,15,7.515866
-58.444444,17,7.533872
6.575833,20,7.557875
-66.606111,12,7.570865
-58.856667,19,7.59287
15.7725,20,7.614867
-61.892222,14,7.628866
-25.867222,18,7.650866
-47.244722,19,7.668869
-1.354444,20,7.687866
-71.517778,13,7.702866
-113.319167,14,7.714865
-71.237222,16,7.729866
64.57,15,7.746873
-54.553611,16,7.762877
-52.395556,18,7.781865
-17.626389,17,7.801865
25.313333,19,7.819865
-28.586667,19,7.840866
-64.485,17,7.858866
-66.0875,13,7.874868
-37.613889,20,7.893866
50.656389,19,7.908866
16.193611,15,7.922866
-80.675278,17,7.936866
-80.0475,11,7.946866
-79.614722,12,7.957865
40.811111,20,7.975867
-43.785833,15,7.990865
-60.108056,16,8.004866
-54.706667,16,8.017865
36.409722,20,8.034866
76.285,15,8.048867
-26.349722,18,8.064867
8.435,20,8.084866
33.92,19,8.103867
-58.567778,20,8.12487
-59.705,16,8.14087
-7.9875,20,8.160865
-83.210556,10,8.168865
-64.378889,15,8.184865
-77.523056,12,8.195866
47.081667,20,8.215865
-86.461667,16,8.233866
3.57,20,8.25387
-48.826389,20,8.271866
30.975833,16,8.286866
-82.948056,9,8.294865
50.721944,16,8.308866
-48.028889,13,8.322866
22.705278,20,8.341866
-74.9275,14,8.353865
40.576389,14,8.367867
-35.790556,19,8.382865
25.972778,20,8.402865
-83.177778,11,8.413865
-51.000556,16,8.427866
-80.669444,19,8.445866
-66.355833,18,8.460865
43.436667,19,8.477866
-49.170556,15,8.491873
22.340556,20,8.511874
11.541944,20,8.530866
-78.765833,15,8.546865
81.758333,11,8.555865
-43.073889,19,8.573865
-76.261944,11,8.583865
